name,url,category
Seqrite,https://www.seqrite.com/,Product
Quick Heal Foundation,https://www.quickhealfoundation.org/,Corporate
Guardian (Dev/Staging),https://devstg.quickheal.co.in/guardian/,Guardian
Guardian AV,https://www.guardianav.co.in/,Guardian
Quick Heal QA OCI (India),https://qaoci.quickheal.co.in/,QA
Quick Heal India,https://www.quickheal.co.in/,India
Quick Heal QA OCI (Global),https://qaoci.quickheal.com/,QA
Quick Heal Global,https://www.quickheal.com/,Global
Quick Heal US QA OCI,https://usqaoci.quickheal.com/,QA
Quick Heal US,https://us.quickheal.com/,US
Quick Heal Academy (Preprod),https://preprod.quickhealacademy.com/,Academy
Quick Heal Academy,https://www.quickhealacademy.com/,Academy
Quick Heal Japan,https://www.quickheal.co.jp/,Japan
Seqrite Japan,https://www.seqrite.jp/,Japan
Quick Heal Blogs (QA OCI),https://qaoci.quickheal.com/blogs/,Blog
Quick Heal Blogs,https://www.quickheal.com/blogs/,Blog
Quick Heal Knowledge Centre,https://www.quickheal.co.in/knowledge-centre/,Knowledge
Quick Heal US Blogs,https://us.quickheal.com/blogs/,Blog
Quick Heal Docs,https://docs.quickheal.com/,Docs
Seqrite Docs,https://docs.seqrite.com/,Docs
Cybisec,https://www.cybisec.com/,Product
